Race,Driver,Position,Constructor,Time
Abu Dhabi Grand Prix,Max Verstappen,1,Red Bull,1:27:02.624
Abu Dhabi Grand Prix,Charles Leclerc,2,Ferrari,+17.993
Abu Dhabi Grand Prix,George Russell,3,Mercedes,+20.328
Australian Grand Prix,Max Verstappen,1,Red Bull,2:32:38.371
Australian Grand Prix,Lewis Hamilton,2,Mercedes,+0.179
Australian Grand Prix,Fernando Alonso,3,Aston Martin,+0.769
Austrian Grand Prix,Max Verstappen,1,Red Bull,1:25:33.607
Austrian Grand Prix,Charles Leclerc,2,Ferrari,+5.155
Austrian Grand Prix,Sergio Pérez,3,Red Bull,+17.188
Azerbaijan Grand Prix,Sergio Pérez,1,Red Bull,1:32:42.436
Azerbaijan Grand Prix,Max Verstappen,2,Red Bull,+2.137
Azerbaijan Grand Prix,Charles Leclerc,3,Ferrari,+21.217
Bahrain Grand Prix,Max Verstappen,1,Red Bull,1:33:56.736
Bahrain Grand Prix,Sergio Pérez,2,Red Bull,+11.987
Bahrain Grand Prix,Fernando Alonso,3,Aston Martin,+38.637
Belgian Grand Prix,Max Verstappen,1,Red Bull,1:22:30.450
Belgian Grand Prix,Sergio Pérez,2,Red Bull,+22.305
Belgian Grand Prix,Charles Leclerc,3,Ferrari,+32.259
British Grand Prix,Max Verstappen,1,Red Bull,1:25:16.938
British Grand Prix,Lando Norris,2,McLaren,+3.798
British Grand Prix,Lewis Hamilton,3,Mercedes,+6.783
Canadian Grand Prix,Max Verstappen,1,Red Bull,1:33:58.348
Canadian Grand Prix,Fernando Alonso,2,Aston Martin,+9.570
Canadian Grand Prix,Lewis Hamilton,3,Mercedes,+4.598
Dutch Grand Prix,Max Verstappen,1,Red Bull,2:24:04.411
Dutch Grand Prix,Fernando Alonso,2,Aston Martin,+3.744
Dutch Grand Prix,Pierre Gasly,3,Alpine F1 Team,+7.058
Hungarian Grand Prix,Max Verstappen,1,Red Bull,1:38:08.634
Hungarian Grand Prix,Lando Norris,2,McLaren,+33.731
Hungarian Grand Prix,Sergio Pérez,3,Red Bull,+37.603
Italian Grand Prix,Max Verstappen,1,Red Bull,1:13:41.143
Italian Grand Prix,Sergio Pérez,2,Red Bull,+6.064
Italian Grand Prix,Carlos Sainz,3,Ferrari,+11.193
Japanese Grand Prix,Max Verstappen,1,Red Bull,1:30:58.421
Japanese Grand Prix,Lando Norris,2,McLaren,+19.387
Japanese Grand Prix,Oscar Piastri,3,McLaren,+36.494
Las Vegas Grand Prix,Max Verstappen,1,Red Bull,1:29:08.289
Las Vegas Grand Prix,Charles Leclerc,2,Ferrari,+2.070
Las Vegas Grand Prix,Sergio Pérez,3,Red Bull,+2.241
Mexico City Grand Prix,Max Verstappen,1,Red Bull,2:02:30.814
Mexico City Grand Prix,Lewis Hamilton,2,Mercedes,+13.875
Mexico City Grand Prix,Charles Leclerc,3,Ferrari,+23.124
Miami Grand Prix,Max Verstappen,1,Red Bull,1:27:38.241
Miami Grand Prix,Sergio Pérez,2,Red Bull,+5.384
Miami Grand Prix,Fernando Alonso,3,Aston Martin,+26.305
Monaco Grand Prix,Max Verstappen,1,Red Bull,1:48:51.980
Monaco Grand Prix,Fernando Alonso,2,Aston Martin,+27.921
Monaco Grand Prix,Esteban Ocon,3,Alpine F1 Team,+36.990
Qatar Grand Prix,Max Verstappen,1,Red Bull,1:27:39.168
Qatar Grand Prix,Oscar Piastri,2,McLaren,+4.833
Qatar Grand Prix,Lando Norris,3,McLaren,+5.969
Saudi Arabian Grand Prix,Sergio Pérez,1,Red Bull,1:21:14.894
Saudi Arabian Grand Prix,Max Verstappen,2,Red Bull,+5.355
Saudi Arabian Grand Prix,Fernando Alonso,3,Aston Martin,+20.728
Singapore Grand Prix,Carlos Sainz,1,Ferrari,1:46:37.418
Singapore Grand Prix,Lando Norris,2,McLaren,+0.812
Singapore Grand Prix,Lewis Hamilton,3,Mercedes,+1.269
Spanish Grand Prix,Max Verstappen,1,Red Bull,1:27:57.940
Spanish Grand Prix,Lewis Hamilton,2,Mercedes,+24.090
Spanish Grand Prix,George Russell,3,Mercedes,+32.389
São Paulo Grand Prix,Max Verstappen,1,Red Bull,1:56:48.894
São Paulo Grand Prix,Lando Norris,2,McLaren,+8.277
São Paulo Grand Prix,Fernando Alonso,3,Aston Martin,+34.155
United States Grand Prix,Max Verstappen,1,Red Bull,1:35:21.362
United States Grand Prix,Lando Norris,2,McLaren,+10.730
United States Grand Prix,Carlos Sainz,3,Ferrari,+15.134
