Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:33:56.736,25
2,Sergio Pérez,Red Bull,+11.987,18
3,Fernando Alonso,Aston Martin,+38.637,15
4,Carlos Sainz,Ferrari,+48.052,12
5,Lewis Hamilton,Mercedes,+50.977,10
6,Lance Stroll,Aston Martin,+54.502,8
7,George Russell,Mercedes,+55.873,6
8,Valtteri Bottas,Alfa Romeo,+1:12.647,4
9,Pierre Gasly,Alpine F1 Team,+1:13.753,2
10,Alexander Albon,Williams,+1:29.774,1
11,Yuki Tsunoda,AlphaTauri,+1:30.870,0
12,Logan Sargeant,Williams,N/A,0
13,Kevin Magnussen,Haas F1 Team,N/A,0
14,Nyck de Vries,AlphaTauri,N/A,0
15,Nico Hülkenberg,Haas F1 Team,N/A,0
16,Guanyu Zhou,Alfa Romeo,N/A,0
17,Lando Norris,McLaren,N/A,0
18,Esteban Ocon,Alpine F1 Team,N/A,0
19,Charles Leclerc,Ferrari,N/A,0
20,Oscar Piastri,McLaren,N/A,0
