Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:27:02.624,26
2,Charles Leclerc,Ferrari,+17.993,18
3,George Russell,Mercedes,+20.328,15
4,Sergio Pérez,Red Bull,+21.453,12
5,Lando Norris,McLaren,+24.284,10
6,Oscar Piastri,McLaren,+31.487,8
7,Fernando Alonso,Aston Martin,+39.512,6
8,Yuki Tsunoda,AlphaTauri,+43.088,4
9,Lewis Hamilton,Mercedes,+44.424,2
10,Lance Stroll,Aston Martin,+55.632,1
11,Daniel Ricciardo,AlphaTauri,+56.229,0
12,Esteban Ocon,Alpine F1 Team,+1:06.373,0
13,Pierre Gasly,Alpine F1 Team,+1:10.360,0
14,Alexander Albon,Williams,+1:13.184,0
15,Nico Hülkenberg,Haas F1 Team,+1:23.696,0
16,Logan Sargeant,Williams,+1:27.791,0
17,Guanyu Zhou,Alfa Romeo,+1:29.422,0
18,Carlos Sainz,Ferrari,N/A,0
19,Valtteri Bottas,Alfa Romeo,N/A,0
20,Kevin Magnussen,Haas F1 Team,N/A,0
