Position,Driver,Constructor,Time,Points
1,Sergio Pérez,Red Bull,1:32:42.436,25
2,Max Verstappen,Red Bull,+2.137,18
3,Charles Leclerc,Ferrari,+21.217,15
4,Fernando Alonso,Aston Martin,+22.024,12
5,Carlos Sainz,Ferrari,+45.491,10
6,Lewis Hamilton,Mercedes,+46.145,8
7,Lance Stroll,Aston Martin,+51.617,6
8,George Russell,Mercedes,+1:14.240,5
9,Lando Norris,McLaren,+1:20.376,2
10,Yuki Tsunoda,AlphaTauri,+1:23.862,1
11,Oscar Piastri,McLaren,+1:26.501,0
12,Alexander Albon,Williams,+1:28.623,0
13,Kevin Magnussen,Haas F1 Team,+1:29.729,0
14,Pierre Gasly,Alpine F1 Team,+1:31.332,0
15,Esteban Ocon,Alpine F1 Team,+1:37.794,0
16,Logan Sargeant,Williams,+1:40.943,0
17,Nico Hülkenberg,Haas F1 Team,N/A,0
18,Valtteri Bottas,Alfa Romeo,N/A,0
19,Guanyu Zhou,Alfa Romeo,N/A,0
20,Nyck de Vries,AlphaTauri,N/A,0
