Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:25:16.938,26
2,Lando Norris,McLaren,+3.798,18
3,Lewis Hamilton,Mercedes,+6.783,15
4,Oscar Piastri,McLaren,+7.776,12
5,George Russell,Mercedes,+11.206,10
6,Sergio Pérez,Red Bull,+12.882,8
7,Fernando Alonso,Aston Martin,+17.193,6
8,Alexander Albon,Williams,+17.878,4
9,Charles Leclerc,Ferrari,+18.689,2
10,Carlos Sainz,Ferrari,+19.448,1
11,Logan Sargeant,Williams,+23.632,0
12,Valtteri Bottas,Alfa Romeo,+25.830,0
13,Nico Hülkenberg,Haas F1 Team,+26.663,0
14,Lance Stroll,Aston Martin,+27.483,0
15,Guanyu Zhou,Alfa Romeo,+29.820,0
16,Yuki Tsunoda,AlphaTauri,+31.225,0
17,Nyck de Vries,AlphaTauri,+33.128,0
18,Pierre Gasly,Alpine F1 Team,N/A,0
19,Kevin Magnussen,Haas F1 Team,N/A,0
20,Esteban Ocon,Alpine F1 Team,N/A,0
