Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:33:58.348,25
2,Fernando Alonso,Aston Martin,+9.570,18
3,Lewis Hamilton,Mercedes,+4.598,15
4,Charles Leclerc,Ferrari,+18.648,12
5,Carlos Sainz,Ferrari,+21.540,10
6,Sergio Pérez,Red Bull,+51.028,9
7,Alexander Albon,Williams,+1:00.813,6
8,Esteban Ocon,Alpine F1 Team,+1:01.692,4
9,Lance Stroll,Aston Martin,+1:04.402,2
10,Valtteri Bottas,Alfa Romeo,+1:04.432,1
11,Oscar Piastri,McLaren,+1:05.101,0
12,Pierre Gasly,Alpine F1 Team,+1:05.249,0
13,Lando Norris,McLaren,+1:08.363,0
14,Yuki Tsunoda,AlphaTauri,+1:13.423,0
15,Nico Hülkenberg,Haas F1 Team,N/A,0
16,Guanyu Zhou,Alfa Romeo,N/A,0
17,Kevin Magnussen,Haas F1 Team,N/A,0
18,Nyck de Vries,AlphaTauri,N/A,0
19,George Russell,Mercedes,N/A,0
20,Logan Sargeant,Williams,N/A,0
