Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,2:24:04.411,25
2,Fernando Alonso,Aston Martin,+3.744,19
3,Pierre Gasly,Alpine F1 Team,+7.058,15
4,Sergio Pérez,Red Bull,+10.068,12
5,Carlos Sainz,Ferrari,+12.541,10
6,Lewis Hamilton,Mercedes,+13.209,8
7,Lando Norris,McLaren,+13.232,6
8,Alexander Albon,Williams,+15.155,4
9,Oscar Piastri,McLaren,+16.580,2
10,Esteban Ocon,Alpine F1 Team,+18.346,1
11,Lance Stroll,Aston Martin,+20.087,0
12,Nico Hülkenberg,Haas F1 Team,+20.840,0
13,Liam Lawson,AlphaTauri,+26.147,0
14,Valtteri Bottas,Alfa Romeo,+27.388,0
15,Yuki Tsunoda,AlphaTauri,+29.893,0
16,Kevin Magnussen,Haas F1 Team,+31.410,0
17,George Russell,Mercedes,+55.754,0
18,Guanyu Zhou,Alfa Romeo,N/A,0
19,Charles Leclerc,Ferrari,N/A,0
20,Logan Sargeant,Williams,N/A,0
