Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:38:08.634,26
2,Lando Norris,McLaren,+33.731,18
3,Sergio Pérez,Red Bull,+37.603,15
4,Lewis Hamilton,Mercedes,+39.134,12
5,Oscar Piastri,McLaren,+1:02.572,10
6,George Russell,Mercedes,+1:05.825,8
7,Charles Leclerc,Ferrari,+1:10.317,6
8,Carlos Sainz,Ferrari,+1:11.073,4
9,Fernando Alonso,Aston Martin,+1:15.709,2
10,Lance Stroll,Aston Martin,N/A,1
11,Alexander Albon,Williams,N/A,0
12,Valtteri Bottas,Alfa Romeo,N/A,0
13,Daniel Ricciardo,AlphaTauri,N/A,0
14,Nico Hülkenberg,Haas F1 Team,N/A,0
15,Yuki Tsunoda,AlphaTauri,N/A,0
16,Guanyu Zhou,Alfa Romeo,N/A,0
17,Kevin Magnussen,Haas F1 Team,N/A,0
18,Logan Sargeant,Williams,N/A,0
19,Esteban Ocon,Alpine F1 Team,N/A,0
20,Pierre Gasly,Alpine F1 Team,N/A,0
