Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:13:41.143,25
2,Sergio Pérez,Red Bull,+6.064,18
3,Carlos Sainz,Ferrari,+11.193,15
4,Charles Leclerc,Ferrari,+11.377,12
5,George Russell,Mercedes,+23.028,10
6,Lewis Hamilton,Mercedes,+42.679,8
7,Alexander Albon,Williams,+45.106,6
8,Lando Norris,McLaren,+45.449,4
9,Fernando Alonso,Aston Martin,+46.294,2
10,Valtteri Bottas,Alfa Romeo,+1:04.056,1
11,Liam Lawson,AlphaTauri,+1:10.638,0
12,Oscar Piastri,McLaren,+1:13.074,0
13,Logan Sargeant,Williams,+1:18.557,0
14,Guanyu Zhou,Alfa Romeo,+1:20.164,0
15,Pierre Gasly,Alpine F1 Team,+1:22.510,0
16,Lance Stroll,Aston Martin,+1:27.266,0
17,Nico Hülkenberg,Haas F1 Team,N/A,0
18,Kevin Magnussen,Haas F1 Team,N/A,0
19,Esteban Ocon,Alpine F1 Team,N/A,0
20,Yuki Tsunoda,AlphaTauri,N/A,0
