Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:29:08.289,25
2,Charles Leclerc,Ferrari,+2.070,18
3,Sergio Pérez,Red Bull,+2.241,15
4,Esteban Ocon,Alpine F1 Team,+18.665,12
5,Lance Stroll,Aston Martin,+20.067,10
6,Carlos Sainz,Ferrari,+20.834,8
7,Lewis Hamilton,Mercedes,+21.755,6
8,George Russell,Mercedes,+23.091,4
9,Fernando Alonso,Aston Martin,+25.964,2
10,Oscar Piastri,McLaren,+29.496,2
11,Pierre Gasly,Alpine F1 Team,+34.270,0
12,Alexander Albon,Williams,+43.398,0
13,Kevin Magnussen,Haas F1 Team,+44.825,0
14,Daniel Ricciardo,AlphaTauri,+48.525,0
15,Guanyu Zhou,Alfa Romeo,+50.162,0
16,Logan Sargeant,Williams,+50.882,0
17,Valtteri Bottas,Alfa Romeo,+1:25.350,0
18,Yuki Tsunoda,AlphaTauri,N/A,0
19,Nico Hülkenberg,Haas F1 Team,N/A,0
20,Lando Norris,McLaren,N/A,0
