Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,2:02:30.814,25
2,Lewis Hamilton,Mercedes,+13.875,19
3,Charles Leclerc,Ferrari,+23.124,15
4,Carlos Sainz,Ferrari,+27.154,12
5,Lando Norris,McLaren,+33.266,10
6,George Russell,Mercedes,+41.020,8
7,Daniel Ricciardo,AlphaTauri,+41.570,6
8,Oscar Piastri,McLaren,+43.104,4
9,Alexander Albon,Williams,+48.573,2
10,Esteban Ocon,Alpine F1 Team,+1:02.879,1
11,Pierre Gasly,Alpine F1 Team,+1:06.208,0
12,Yuki Tsunoda,AlphaTauri,+1:18.982,0
13,Nico Hülkenberg,Haas F1 Team,+1:20.309,0
14,Guanyu Zhou,Alfa Romeo,+1:21.676,0
15,Valtteri Bottas,Alfa Romeo,+1:25.597,0
16,Logan Sargeant,Williams,N/A,0
17,Lance Stroll,Aston Martin,N/A,0
18,Fernando Alonso,Aston Martin,N/A,0
19,Kevin Magnussen,Haas F1 Team,N/A,0
20,Sergio Pérez,Red Bull,N/A,0
