Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:48:51.980,25
2,Fernando Alonso,Aston Martin,+27.921,18
3,Esteban Ocon,Alpine F1 Team,+36.990,15
4,Lewis Hamilton,Mercedes,+39.062,13
5,George Russell,Mercedes,+56.284,10
6,Charles Leclerc,Ferrari,+1:01.890,8
7,Pierre Gasly,Alpine F1 Team,+1:02.362,6
8,Carlos Sainz,Ferrari,+1:03.391,4
9,Lando Norris,McLaren,N/A,2
10,Oscar Piastri,McLaren,N/A,1
11,Valtteri Bottas,Alfa Romeo,N/A,0
12,Nyck de Vries,AlphaTauri,N/A,0
13,Guanyu Zhou,Alfa Romeo,N/A,0
14,Alexander Albon,Williams,N/A,0
15,Yuki Tsunoda,AlphaTauri,N/A,0
16,Sergio Pérez,Red Bull,N/A,0
17,Nico Hülkenberg,Haas F1 Team,N/A,0
18,Logan Sargeant,Williams,N/A,0
19,Kevin Magnussen,Haas F1 Team,N/A,0
20,Lance Stroll,Aston Martin,N/A,0
