Position,Driver,Constructor,Time,Points
1,Max Verstappen,Red Bull,1:35:21.362,25
2,Lando Norris,McLaren,+10.730,18
3,Carlos Sainz,Ferrari,+15.134,15
4,Sergio Pérez,Red Bull,+18.460,12
5,George Russell,Mercedes,+24.999,10
6,Pierre Gasly,Alpine F1 Team,+47.996,8
7,Lance Stroll,Aston Martin,+48.696,6
8,Yuki Tsunoda,AlphaTauri,+1:14.385,5
9,Alexander Albon,Williams,+1:26.714,2
10,Logan Sargeant,Williams,+1:27.998,1
11,Nico Hülkenberg,Haas F1 Team,+1:29.904,0
12,Valtteri Bottas,Alfa Romeo,+1:38.601,0
13,Guanyu Zhou,Alfa Romeo,N/A,0
14,Kevin Magnussen,Haas F1 Team,N/A,0
15,Daniel Ricciardo,AlphaTauri,N/A,0
16,Fernando Alonso,Aston Martin,N/A,0
17,Oscar Piastri,McLaren,N/A,0
18,Esteban Ocon,Alpine F1 Team,N/A,0
19,Lewis Hamilton,Mercedes,N/A,0
20,Charles Leclerc,Ferrari,N/A,0
